"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Harry Kane";"Bayern Munich";31;2385;36;5;29.58;7.4;1.12;0.28
2;"Deniz Undav";"VfB Stuttgart";29;2261;19;6;19.06;5.58;0.76;0.22
3;"Serhou Guirassy";"Borussia Dortmund";33;2366;17;1;19.91;1.93;0.76;0.07
4;"Patrik Schick";"Bayer Leverkusen";28;2005;16;3;19.42;3.19;0.87;0.14
5;"Michael Olise";"Bayern Munich";32;2308;15;19;11.55;17.04;0.45;0.66
6;"Luis Díaz";"Bayern Munich";32;2464;15;14;14.86;10.12;0.54;0.37
7;"Andrej Kramaric";"Hoffenheim";34;2256;14;6;13.08;4.53;0.52;0.18
8;"Jonathan Burkardt";"Eintracht Frankfurt";22;1351;13;1;13.12;0.67;0.87;0.04
9;"Christoph Baumgartner";"RasenBallsport Leipzig";33;2811;13;8;18.02;4.29;0.58;0.14
10;"Haris Tabakovic";"Borussia M.Gladbach";32;2424;13;2;14.34;1.88;0.53;0.07
11;"Said El Mala";"FC Cologne";34;1965;13;4;12.58;4.19;0.58;0.19
12;"Nadiem Amiri";"Mainz 05";26;2112;12;2;10.7;6.56;0.46;0.28
13;"Ermedin Demirovic";"VfB Stuttgart";25;1507;12;3;8.66;2.18;0.52;0.13
14;"Yan Diomande";"RasenBallsport Leipzig";33;2507;12;8;8.03;10.05;0.29;0.36
15;"Igor Matanovic";"Freiburg";31;1536;11;2;9.58;2.24;0.56;0.13
16;"Fisnik Asllani";"Hoffenheim";33;2429;10;7;9.5;5.4;0.35;0.2
17;"Jens Stage";"Werder Bremen";29;2489;10;2;6.1;3.48;0.22;0.13
18;"Maximilian Beier";"Borussia Dortmund";32;2069;9;6;8.25;4.96;0.36;0.22
19;"Rômulo";"RasenBallsport Leipzig";30;2246;9;4;15.94;3.61;0.64;0.14
20;"Serge Gnabry";"Bayern Munich";21;1280;8;6;6.26;5.15;0.44;0.36
21;"Tim Lemperle";"Hoffenheim";29;2008;8;2;9.41;2.58;0.42;0.12
22;"Nicolas Jackson";"Bayern Munich";23;991;8;1;8.49;2.09;0.77;0.19
23;"Dzenan Pejcinovic";"Wolfsburg";30;1445;8;0;8.29;1.65;0.52;0.1
24;"Álex Grimaldo";"Bayer Leverkusen";29;2539;8;7;6.76;10.24;0.24;0.36
25;"Can Uzun";"Eintracht Frankfurt";21;1178;8;4;4.54;2.63;0.35;0.2
26;"Mohammed Amoura";"Wolfsburg";30;1949;8;3;9.96;3.97;0.46;0.18
27;"Julian Brandt";"Borussia Dortmund";29;1601;7;4;5.1;5.29;0.29;0.3
28;"Grischa Prömel";"Hoffenheim";33;1696;7;2;5.13;2.62;0.27;0.14
29;"Vincenzo Grifo";"Freiburg";33;1733;7;4;5.46;5.39;0.28;0.28
30;"Chris Führich";"VfB Stuttgart";33;1727;7;7;4.27;7.83;0.22;0.41
31;"Ragnar Ache";"FC Cologne";29;1739;7;4;11;2.97;0.57;0.15
32;"Jamie Leweling";"VfB Stuttgart";32;2385;7;9;4.1;6.05;0.15;0.23
33;"Jakub Kaminski";"FC Cologne";34;3031;7;3;7.97;5.59;0.24;0.17
34;"Karim Adeyemi";"Borussia Dortmund";28;1218;7;4;5.22;3.46;0.39;0.26
35;"Fábio Vieira";"Hamburger SV";29;2241;7;5;4.89;4.64;0.2;0.19
36;"Michael Gregoritsch";"Augsburg";17;926;6;2;6.22;1.52;0.6;0.15
37;"Maximilian Mittelstädt";"VfB Stuttgart";32;2200;6;4;4.95;5.52;0.2;0.23
38;"Oliver Burke";"Union Berlin";29;1699;6;2;6.04;2.29;0.32;0.12
39;"Arnaud Kalimuendo Muinga";"Eintracht Frankfurt";19;1431;6;1;4.88;1.6;0.31;0.1
40;"Malik Tillman";"Bayer Leverkusen";29;1681;6;1;5.12;3.6;0.27;0.19
41;"Anton Kade";"Augsburg";28;1740;6;0;6.71;3.09;0.35;0.16
42;"Phillip Tietz";"Augsburg,Mainz 05";29;1811;6;2;11.6;1.92;0.58;0.1
43;"Fabian Rieder";"Augsburg";32;2387;6;3;4.17;5.38;0.16;0.2
44;"Budu Zivzivadze";"FC Heidenheim";20;1148;6;0;5.82;0.91;0.46;0.07
45;"Luka Vuskovic";"Hamburger SV";28;2440;6;0;4.68;0.57;0.17;0.02
46;"Gian-Luca Waldschmidt";"FC Cologne";24;633;5;5;5.95;2.63;0.85;0.37
47;"Leon Goretzka";"Bayern Munich";31;2004;5;3;4.88;2.35;0.22;0.11
48;"Kevin Diks";"Borussia M.Gladbach";30;2472;5;0;4.18;0.7;0.15;0.03
49;"Ramy Bensebaini";"Borussia Dortmund";21;1524;5;2;3.26;0.72;0.19;0.04
50;"Raphael Guerreiro";"Bayern Munich";18;779;5;2;3.53;2.28;0.41;0.26
51;"Rani Khedira";"Union Berlin";32;2854;5;1;2.27;2.32;0.07;0.07
52;"Alexis Claude Maurice";"Augsburg";29;2135;5;4;6.34;3.22;0.27;0.14
53;"Nico Schlotterbeck";"Borussia Dortmund";28;2520;5;1;3.8;1.06;0.14;0.04
54;"Rayan Philippe";"Hamburger SV";28;1272;5;0;5.65;1.36;0.4;0.1
55;"Marius Bülter";"FC Cologne";32;1578;5;4;3.98;4.7;0.23;0.27
56;"Edmond Tapsoba";"Bayer Leverkusen";29;2579;5;3;4.24;1.71;0.15;0.06
57;"Ritsu Doan";"Eintracht Frankfurt";31;2425;5;5;4.13;6.52;0.15;0.24
58;"Paul Nebel";"Mainz 05";30;2087;5;2;5.77;5.34;0.25;0.23
59;"Albert Sambi Lokonga";"Hamburger SV";26;1724;5;0;1.67;1.38;0.09;0.07
60;"Tiago Tomás";"VfB Stuttgart";27;996;5;3;5.53;1.26;0.5;0.11
61;"Justin Njinmah";"Werder Bremen";33;1963;5;0;6.78;1.24;0.31;0.06
62;"Danilho Doekhi";"Union Berlin";34;3060;5;0;4.88;0.55;0.14;0.02
63;"Derry Scherhant";"Freiburg";31;1253;5;1;3.32;1.96;0.24;0.14
64;"Stefan Schimmer";"FC Heidenheim";27;737;5;1;5.92;1.65;0.72;0.2
65;"Andrej Ilic";"Union Berlin";32;2238;5;9;11.11;4.75;0.45;0.19
66;"Danel Sinani";"St. Pauli";30;2080;5;3;5.75;3.71;0.25;0.16
67;"Johan Manzambi";"Freiburg";27;2145;5;4;4.02;3.58;0.17;0.15
68;"Bazoumana Touré";"Hoffenheim";30;2379;5;9;5.14;7.23;0.19;0.27
69;"Lennart Karl";"Bayern Munich";26;1268;5;5;7.12;2.79;0.51;0.2
70;"Christian Kofane";"Bayer Leverkusen";29;1231;5;4;8.05;2.24;0.59;0.16
71;"Ernest Poku";"Bayer Leverkusen";29;1471;5;5;3.73;3.16;0.23;0.19
72;"Ilyas Ansah";"Union Berlin";33;1960;5;1;3.83;1.52;0.18;0.07
73;"Ransford Königsdörffer";"Hamburger SV";33;2425;5;0;8.1;1.29;0.3;0.05
74;"Martin Terrier";"Bayer Leverkusen";18;667;4;1;3.2;1.1;0.43;0.15
75;"Nikolas Nartey";"VfB Stuttgart";28;1255;4;3;4.4;3.35;0.32;0.24
