,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,1,34,34,3060,34.0,61,1.79,166,105,63.3,12,7,15,5,14.7,7,6,1,0,14.3
Bayern Munich,3,34,34,3060,34.0,36,1.06,105,69,65.7,28,5,1,12,35.3,3,2,0,1,0.0
Dortmund,1,34,34,3060,34.0,34,1.00,122,88,72.1,22,7,5,15,44.1,5,5,0,0,0.0
Frankfurt,2,34,34,3060,34.0,65,1.91,164,99,60.4,11,11,12,7,20.6,3,3,0,0,0.0
Freiburg,1,34,34,3060,34.0,57,1.68,157,100,63.7,13,8,13,6,17.6,1,0,1,0,100.0
Gladbach,1,34,34,3060,34.0,53,1.56,189,136,72.0,9,11,14,13,38.2,5,5,0,0,0.0
Hamburger SV,2,34,34,3060,34.0,54,1.59,165,111,67.3,9,11,14,6,17.6,11,6,3,2,33.3
Heidenheim,2,34,34,3060,34.0,72,2.12,187,115,61.5,6,8,20,1,2.9,6,5,0,1,0.0
Hoffenheim,1,34,34,3060,34.0,52,1.53,150,98,65.3,18,7,9,7,20.6,7,5,0,2,0.0
Köln,1,34,34,3060,34.0,63,1.85,155,92,59.4,7,11,16,3,8.8,7,5,2,0,28.6
Leverkusen,2,34,34,3060,34.0,47,1.38,167,120,71.9,17,8,9,8,23.5,7,7,0,0,0.0
Mainz 05,3,34,34,3058,34.0,53,1.56,169,116,68.6,10,10,14,4,11.8,2,2,0,0,0.0
RB Leipzig,2,34,34,3060,34.0,47,1.38,130,82,63.8,20,5,9,11,32.4,3,2,1,0,33.3
St Pauli,1,34,34,3060,34.0,60,1.76,183,123,67.2,6,8,20,5,14.7,6,3,2,1,40.0
Stuttgart,1,34,34,3060,34.0,49,1.44,157,107,68.8,18,8,8,11,32.4,10,9,1,0,10.0
Union Berlin,3,34,34,3060,34.0,58,1.71,150,90,61.3,10,9,15,7,20.6,6,6,0,0,0.0
Werder Bremen,2,34,34,3060,34.0,60,1.76,171,111,64.9,8,8,18,6,17.6,6,6,0,0,0.0
Wolfsburg,1,34,34,3060,34.0,69,2.03,189,120,63.5,7,8,19,2,5.9,12,7,3,2,30.0
Atalanta,2,38,38,3420,38.0,36,0.95,152,115,76.3,15,14,9,13,34.2,4,2,2,0,50.0
Bologna,3,38,38,3415,38.0,49,1.29,141,92,65.2,16,8,14,12,31.6,4,4,0,0,0.0
Cagliari,1,38,38,3420,38.0,53,1.39,175,121,69.7,11,10,17,8,21.1,2,2,0,0,0.0
Como,1,38,38,3420,38.0,29,0.76,116,86,75.0,20,11,7,19,50.0,6,5,1,0,16.7
Cremonese,2,38,38,3420,38.0,57,1.50,195,138,70.8,8,10,20,11,28.9,6,4,2,0,33.3
Fiorentina,3,38,38,3420,38.0,50,1.32,176,125,71.6,9,15,14,10,26.3,6,5,1,0,16.7
Genoa,3,38,38,3418,38.0,52,1.37,163,111,68.1,10,11,17,9,23.7,7,7,0,0,0.0
Hellas Verona,2,38,38,3420,38.0,61,1.61,157,95,61.1,3,12,23,6,15.8,5,2,3,0,60.0
Inter,3,38,38,3420,38.0,35,0.92,111,75,68.5,27,6,5,18,47.4,4,4,0,0,0.0
Juventus,2,38,38,3420,38.0,34,0.89,108,73,68.5,19,12,7,16,42.1,3,1,0,2,0.0
Lazio,3,38,38,3420,38.0,40,1.05,158,116,74.7,14,12,12,15,39.5,5,3,2,0,40.0
Lecce,1,38,38,3420,38.0,50,1.32,158,108,68.4,10,8,20,10,26.3,6,4,2,0,33.3
Milan,2,38,38,3420,38.0,35,0.92,145,110,75.9,20,10,8,15,39.5,8,5,2,1,28.6
Napoli,3,38,38,3420,38.0,36,0.95,110,73,67.3,23,7,8,15,39.5,10,7,3,0,30.0
Parma,3,38,38,3420,38.0,46,1.21,160,113,71.3,11,12,15,13,34.2,6,5,1,0,16.7
Pisa,3,38,38,3420,38.0,71,1.87,179,108,60.3,2,12,24,5,13.2,6,5,0,1,0.0
Roma,1,38,38,3420,38.0,31,0.82,138,107,77.5,23,4,11,18,47.4,1,1,0,0,0.0
Sassuolo,3,38,38,3420,38.0,50,1.32,183,133,72.7,14,7,17,8,21.1,6,5,1,0,16.7
Torino,2,38,38,3420,38.0,63,1.66,169,106,62.7,12,9,17,12,31.6,4,4,0,0,0.0
Udinese,3,38,38,3416,38.0,53,1.40,150,97,64.7,14,8,16,11,28.9,7,6,1,0,14.3
Angers,3,34,34,3060,34.0,48,1.41,183,134,73.8,9,9,16,10,29.4,6,3,2,1,40.0
Auxerre,2,34,34,3058,34.0,44,1.29,154,110,71.4,8,10,16,9,26.5,5,3,2,0,40.0
