,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Augsburg,29,34.0,82,1,1,375,371,72,626,289,335,,,2
Bayern Munich,32,34.0,58,2,1,299,291,83,549,286,283,,,0
Dortmund,27,34.0,63,2,0,396,327,40,669,271,310,,,0
Frankfurt,29,34.0,62,4,4,352,315,44,507,314,339,,,1
Freiburg,26,34.0,51,3,1,318,394,67,590,283,275,,,1
Gladbach,28,34.0,60,3,0,367,356,64,528,322,337,,,2
Hamburger SV,32,34.0,78,8,5,402,416,59,535,300,304,,,0
Heidenheim,30,34.0,48,1,0,334,341,64,578,323,322,,,1
Hoffenheim,26,34.0,73,3,1,474,291,59,698,274,321,,,0
Köln,27,34.0,64,3,1,283,332,61,639,275,311,,,0
Leverkusen,28,34.0,70,2,2,292,358,42,619,255,290,,,1
Mainz 05,30,34.0,70,5,1,373,326,79,684,346,322,,,2
RB Leipzig,29,34.0,52,0,0,315,335,48,574,302,346,,,1
St Pauli,24,34.0,54,2,1,327,297,66,586,317,358,,,1
Stuttgart,26,34.0,63,2,0,327,401,69,680,283,294,,,1
Union Berlin,26,34.0,71,3,0,417,326,55,674,289,296,,,1
Werder Bremen,28,34.0,77,5,3,337,304,60,611,320,354,,,2
Wolfsburg,30,34.0,68,3,2,392,291,40,520,294,348,,,4
Atalanta,27,38.0,60,2,1,450,365,73,711,313,361,,,1
Bologna,30,38.0,67,6,2,500,528,73,671,279,311,,,1
Cagliari,31,38.0,81,2,2,524,530,61,543,334,359,,,0
Como,24,38.0,81,3,1,509,449,43,617,263,374,,,0
Cremonese,32,38.0,73,6,0,514,463,63,685,267,300,,,2
Fiorentina,34,38.0,82,3,1,475,569,62,717,269,273,,,2
Genoa,36,38.0,62,3,1,470,537,50,643,274,427,,,2
Hellas Verona,34,38.0,89,5,3,598,336,63,585,397,439,,,4
Inter,29,38.0,64,0,0,499,396,61,875,248,356,,,1
Juventus,27,38.0,52,2,1,461,365,65,745,245,366,,,2
Lazio,30,38.0,78,9,1,402,522,37,511,295,304,,,0
Lecce,30,38.0,69,2,0,480,493,46,643,261,391,,,1
Milan,26,38.0,64,3,2,384,424,71,639,242,315,,,1
Napoli,29,38.0,49,2,1,425,438,56,668,234,269,,,0
Parma,32,38.0,65,5,4,413,483,50,640,259,317,,,1
Pisa,35,38.0,78,5,1,501,415,62,649,354,376,,,1
Roma,29,38.0,68,3,1,523,506,64,694,360,339,,,0
Sassuolo,34,38.0,83,4,1,455,462,66,445,299,308,,,2
Torino,30,38.0,71,1,0,530,377,63,665,309,337,,,0
Udinese,30,38.0,71,2,0,514,407,54,560,321,375,,,1
Angers,30,34.0,52,2,1,377,355,59,531,303,390,,,1
Auxerre,30,34.0,69,7,3,467,438,44,544,353,400,,,2
Brest,27,34.0,58,5,0,434,366,45,555,348,383,,,1
Le Havre,31,34.0,65,4,0,466,453,69,744,317,345,,,3
Lens,30,34.0,66,5,2,432,384,67,773,360,389,,,0
Lille,30,34.0,78,5,0,370,428,47,650,313,323,,,1
Lorient,26,34.0,55,1,0,326,425,55,539,295,311,,,4
Lyon,32,34.0,61,7,2,442,423,42,676,237,307,,,2
Marseille,38,34.0,80,4,1,432,352,41,601,278,306,,,2
Metz,33,34.0,55,4,1,387,359,45,620,273,358,,,3
Monaco,32,34.0,75,6,2,441,347,72,589,354,380,,,2
Nantes,33,33.0,67,2,0,420,440,41,542,273,351,,,1
Nice,36,34.0,69,3,1,419,373,61,626,333,316,,,0
Paris FC,31,34.0,72,5,3,363,336,73,544,269,331,,,1
PSG,28,34.0,37,2,1,312,300,42,508,246,319,,,1
Rennes,33,34.0,58,4,1,421,390,82,664,283,325,,,0
Strasbourg,35,34.0,60,5,1,383,419,62,555,257,311,,,2
Toulouse,26,33.0,78,5,1,474,349,36,489,315,322,,,0
Alavés,28,38.0,95,5,5,568,489,74,754,299,403,,,1
Athletic Club,29,38.0,79,7,2,520,391,52,923,355,348,,,1
Atlético Madrid,36,38.0,79,5,2,425,345,79,770,298,389,,,0
Barcelona,29,38.0,60,2,2,360,431,83,548,287,371,,,0
Celta Vigo,31,38.0,73,1,1,444,447,76,432,277,306,,,1
Elche,32,38.0,81,6,2,507,538,59,596,314,403,,,0
Espanyol,25,38.0,91,5,3,524,458,70,801,308,373,,,1
Getafe,33,38.0,109,8,3,577,531,91,713,342,426,,,2
Girona,32,38.0,80,7,2,408,521,73,592,292,365,,,1
Levante,30,38.0,85,5,1,467,464,58,674,331,357,,,3
Mallorca,30,38.0,83,5,2,467,444,50,725,270,322,,,2
Osasuna,24,38.0,91,7,1,511,415,51,787,303,317,,,0
Oviedo,31,38.0,81,10,4,474,420,78,647,293,406,,,0
Rayo Vallecano,28,38.0,103,9,3,511,397,79,767,320,414,,,1
Real Betis,29,38.0,72,2,1,403,466,63,556,339,395,,,1
Real Madrid,35,38.0,70,7,1,380,522,78,579,246,355,,,1
Real Sociedad,36,38.0,88,4,0,541,436,90,652,305,409,,,3
Sevilla,33,38.0,108,5,2,561,457,102,620,333,433,,,0
Valencia,27,38.0,70,3,0,459,431,65,696,289,360,,,3
Villarreal,33,38.0,78,3,1,454,444,68,459,344,396,,,2
Arsenal,25,38.0,51,0,0,391,408,61,679,259,332,,,1
Aston Villa,30,38.0,58,1,0,379,471,43,605,223,347,,,1
Bournemouth,26,38.0,88,2,0,458,384,70,727,341,378,,,3
Brentford,26,38.0,69,1,0,390,339,58,679,318,331,,,3
Brighton,28,38.0,86,0,0,453,369,64,714,311,409,,,4
Burnley,28,38.0,66,3,1,392,333,56,516,344,363,,,4
Chelsea,30,38.0,98,8,4,419,445,58,677,358,340,,,1
Crystal Palace,30,38.0,76,2,1,398,356,71,604,305,411,,,2
Everton,22,38.0,74,4,1,409,405,53,672,303,403,,,1
Fulham,24,38.0,75,1,0,414,361,67,684,315,383,,,3
Leeds United,24,38.0,64,1,1,398,416,60,677,338,394,,,1
Liverpool,24,38.0,57,1,0,384,387,76,762,250,307,,,0
Manchester City,27,38.0,67,0,0,367,413,44,623,293,336,,,0
Manchester Utd,27,38.0,64,3,1,390,394,52,639,310,406,,,2
Newcastle,26,38.0,67,3,2,385,440,49,876,259,349,,,2
Nottingham,31,38.0,60,1,0,406,422,60,826,290,385,,,3
Sunderland,29,38.0,82,3,0,407,407,56,613,295,356,,,2
Tottenham,31,38.0,101,4,1,462,378,58,762,310,446,,,0
West Ham,32,38.0,69,3,1,421,385,65,638,341,403,,,3
Wolves,31,38.0,80,3,1,494,403,53,694,303,415,,,4
