,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Augsburg,29,25.9,44.0,34,374,3060,34.0,45,27,72,41,4,6,82,1,1.32,0.79,2.12,1.21,2.00
Bayern Munich,32,27.4,67.5,34,374,3060,34.0,119,91,210,108,11,12,58,2,3.50,2.68,6.18,3.18,5.85
Dortmund,27,26.2,53.3,34,374,3060,34.0,69,51,120,63,6,9,63,2,2.03,1.50,3.53,1.85,3.35
Frankfurt,29,24.8,55.0,34,374,3060,34.0,61,42,103,55,6,6,62,4,1.79,1.24,3.03,1.62,2.85
Freiburg,26,26.7,48.2,34,374,3060,34.0,49,29,78,44,5,6,51,3,1.44,0.85,2.29,1.29,2.15
Gladbach,28,26.0,46.7,34,374,3060,34.0,40,29,69,36,4,7,60,3,1.18,0.85,2.03,1.06,1.91
Hamburger SV,32,25.8,45.4,34,374,3060,34.0,40,30,70,36,4,6,78,8,1.18,0.88,2.06,1.06,1.94
Heidenheim,30,26.6,42.4,34,374,3060,34.0,41,28,69,39,2,2,48,1,1.21,0.82,2.03,1.15,1.97
Hoffenheim,26,26.7,55.3,34,374,3060,34.0,61,45,106,55,6,6,73,3,1.79,1.32,3.12,1.62,2.94
Köln,27,25.0,47.0,34,374,3060,34.0,47,33,80,44,3,3,64,3,1.38,0.97,2.35,1.29,2.26
Leverkusen,28,26.3,59.2,34,374,3060,34.0,67,49,116,60,7,8,70,2,1.97,1.44,3.41,1.76,3.21
Mainz 05,30,28.6,44.0,34,374,3060,34.0,44,26,70,36,8,9,70,5,1.29,0.76,2.06,1.06,1.82
RB Leipzig,29,25.0,54.0,34,374,3060,34.0,64,48,112,63,1,3,52,0,1.88,1.41,3.29,1.85,3.26
St Pauli,24,27.5,44.4,34,374,3060,34.0,29,21,50,25,4,5,54,2,0.85,0.62,1.47,0.74,1.35
Stuttgart,26,25.5,57.7,34,374,3060,34.0,70,56,126,65,5,7,63,2,2.06,1.65,3.71,1.91,3.56
Union Berlin,26,27.2,40.2,34,374,3060,34.0,44,29,73,41,3,5,71,3,1.29,0.85,2.15,1.21,2.06
Werder Bremen,28,25.1,51.2,34,374,3060,34.0,36,28,64,33,3,4,77,5,1.06,0.82,1.88,0.97,1.79
Wolfsburg,30,25.4,45.3,34,374,3060,34.0,44,35,79,40,4,5,68,3,1.29,1.03,2.32,1.18,2.21
Atalanta,27,26.7,55.2,38,418,3420,38.0,50,33,83,47,3,3,60,2,1.32,0.87,2.18,1.24,2.11
Bologna,30,26.5,55.2,38,418,3420,38.0,47,30,77,42,5,7,67,6,1.24,0.79,2.03,1.11,1.89
Cagliari,31,24.8,45.6,38,418,3420,38.0,40,30,70,38,2,2,81,2,1.05,0.79,1.84,1.00,1.79
Como,24,25.4,61.6,38,418,3420,38.0,64,47,111,59,5,8,81,3,1.68,1.24,2.92,1.55,2.79
Cremonese,32,28.1,46.6,38,418,3420,38.0,32,22,54,28,4,4,73,6,0.84,0.58,1.42,0.74,1.32
Fiorentina,34,26.8,51.1,38,418,3420,38.0,40,23,63,34,6,6,82,3,1.05,0.61,1.66,0.89,1.50
Genoa,36,25.9,48.8,38,418,3420,38.0,41,21,62,36,5,9,62,3,1.08,0.55,1.63,0.95,1.50
Hellas Verona,34,26.3,40.2,38,418,3420,38.0,24,15,39,21,3,3,89,5,0.63,0.39,1.03,0.55,0.95
Inter,29,28.6,59.8,38,418,3420,38.0,85,64,149,80,5,6,64,0,2.24,1.68,3.92,2.11,3.79
Juventus,27,26.0,57.6,38,418,3420,38.0,59,41,100,57,2,5,52,2,1.55,1.08,2.63,1.50,2.58
Lazio,30,27.8,50.4,38,418,3420,38.0,39,28,67,35,4,5,78,9,1.03,0.74,1.76,0.92,1.66
Lecce,30,25.5,41.7,38,418,3420,38.0,28,20,48,27,1,2,69,2,0.74,0.53,1.26,0.71,1.24
Milan,26,27.2,51.8,38,418,3420,38.0,53,37,90,46,7,9,64,3,1.39,0.97,2.37,1.21,2.18
Napoli,29,28.4,59.0,38,418,3420,38.0,57,39,96,53,4,5,49,2,1.50,1.03,2.53,1.39,2.42
Parma,32,24.1,44.2,38,418,3420,38.0,26,17,43,24,2,2,65,5,0.68,0.45,1.13,0.63,1.08
Pisa,35,27.0,40.2,38,418,3420,38.0,25,13,38,19,6,7,78,5,0.66,0.34,1.00,0.50,0.84
Roma,29,26.3,56.3,38,418,3420,38.0,59,41,100,54,5,7,68,3,1.55,1.08,2.63,1.42,2.50
Sassuolo,34,26.1,46.2,38,418,3420,38.0,45,35,80,43,2,4,83,4,1.18,0.92,2.11,1.13,2.05
Torino,30,27.2,44.1,38,418,3420,38.0,42,25,67,37,5,7,71,1,1.11,0.66,1.76,0.97,1.63
Udinese,30,26.5,45.6,38,418,3420,38.0,44,30,74,39,5,5,71,2,1.16,0.79,1.95,1.03,1.82
Angers,30,26.0,41.9,34,374,3060,34.0,28,17,45,25,3,5,52,2,0.82,0.50,1.32,0.74,1.24
Auxerre,30,24.9,43.9,34,374,3060,34.0,30,19,49,27,3,5,69,7,0.88,0.56,1.44,0.79,1.35
Brest,27,26.5,43.5,34,374,3060,34.0,42,30,72,36,6,8,58,5,1.24,0.88,2.12,1.06,1.94
Le Havre,31,26.6,46.9,34,374,3060,34.0,31,22,53,29,2,6,65,4,0.91,0.65,1.56,0.85,1.50
Lens,30,26.5,51.2,34,374,3060,34.0,65,51,116,61,4,5,66,5,1.91,1.50,3.41,1.79,3.29
Lille,30,26.5,56.0,34,374,3060,34.0,51,33,84,44,7,8,78,5,1.50,0.97,2.47,1.29,2.26
Lorient,26,25.3,45.4,34,374,3060,34.0,47,31,78,44,3,7,55,1,1.38,0.91,2.29,1.29,2.21
Lyon,32,26.2,54.6,34,374,3060,34.0,52,41,93,49,3,5,61,7,1.53,1.21,2.74,1.44,2.65
Marseille,38,27.5,57.1,34,374,3060,34.0,62,47,109,56,6,8,80,4,1.82,1.38,3.21,1.65,3.03
Metz,33,26.2,48.9,34,374,3060,34.0,31,20,51,26,5,6,55,4,0.91,0.59,1.50,0.76,1.35
Monaco,32,25.6,53.8,34,374,3060,34.0,57,42,99,51,6,7,75,6,1.68,1.24,2.91,1.50,2.74
Nantes,33,26.1,42.1,33,363,2970,33.0,28,18,46,26,2,4,67,2,0.85,0.55,1.39,0.79,1.33
Nice,36,25.6,46.3,34,374,3060,34.0,35,25,60,32,3,3,69,3,1.03,0.74,1.76,0.94,1.68
Paris FC,31,27.3,50.4,34,374,3060,34.0,46,28,74,41,5,6,72,5,1.35,0.82,2.18,1.21,2.03
PSG,28,23.6,68.8,34,374,3060,34.0,73,55,128,68,5,8,37,2,2.15,1.62,3.76,2.00,3.62
Rennes,33,26.1,53.5,34,374,3060,34.0,56,41,97,51,5,6,58,4,1.65,1.21,2.85,1.50,2.71
Strasbourg,35,21.5,53.8,34,374,3060,34.0,57,42,99,51,6,7,60,5,1.68,1.24,2.91,1.50,2.74
Toulouse,26,24.1,42.3,33,363,2970,33.0,46,32,78,42,4,7,78,5,1.39,0.97,2.36,1.27,2.24
Alavés,28,27.3,48.1,38,418,3420,38.0,41,26,67,34,7,7,95,5,1.08,0.68,1.76,0.89,1.58
Athletic Club,29,27.6,48.6,38,418,3420,38.0,42,30,72,37,5,6,79,7,1.11,0.79,1.89,0.97,1.76
Atlético Madrid,36,27.2,53.4,38,418,3420,38.0,58,40,98,55,3,4,79,5,1.53,1.05,2.58,1.45,2.50
Barcelona,29,24.7,68.9,38,418,3420,38.0,94,68,162,87,7,10,60,2,2.47,1.79,4.26,2.29,4.08
Celta Vigo,31,26.0,50.4,38,418,3420,38.0,52,36,88,44,8,8,73,1,1.37,0.95,2.32,1.16,2.11
Elche,32,26.8,57.7,38,418,3420,38.0,47,33,80,43,4,5,81,6,1.24,0.87,2.11,1.13,2.00
Espanyol,25,27.4,42.4,38,418,3420,38.0,42,29,71,39,3,5,91,5,1.11,0.76,1.87,1.03,1.79
Getafe,33,28.5,40.2,38,418,3420,38.0,31,26,57,29,2,4,109,8,0.82,0.68,1.50,0.76,1.45
Girona,32,27.3,50.7,38,418,3420,38.0,38,27,65,31,7,8,80,7,1.00,0.71,1.71,0.82,1.53
Levante,30,25.9,42.9,38,418,3420,38.0,47,31,78,45,2,6,85,5,1.24,0.82,2.05,1.18,2.00
Mallorca,30,27.8,47.0,38,418,3420,38.0,47,32,79,42,5,7,83,5,1.24,0.84,2.08,1.11,1.95
Osasuna,24,28.2,46.8,38,418,3420,38.0,42,30,72,36,6,8,91,7,1.11,0.79,1.89,0.95,1.74
Oviedo,31,28.0,46.1,38,418,3420,38.0,26,18,44,24,2,3,81,10,0.68,0.47,1.16,0.63,1.11
Rayo Vallecano,28,28.9,53.5,38,418,3420,38.0,41,29,70,38,3,5,103,9,1.08,0.76,1.84,1.00,1.76
Real Betis,29,27.8,50.3,38,418,3420,38.0,58,39,97,55,3,3,72,2,1.53,1.03,2.55,1.45,2.47
Real Madrid,35,25.3,59.5,38,418,3420,38.0,77,56,133,65,12,14,70,7,2.03,1.47,3.50,1.71,3.18
Real Sociedad,36,25.8,51.3,38,418,3420,38.0,57,38,95,49,8,9,88,4,1.50,1.00,2.50,1.29,2.29
Sevilla,33,27.0,51.0,38,418,3420,38.0,44,33,77,39,5,6,108,5,1.16,0.87,2.03,1.03,1.89
Valencia,27,27.1,47.7,38,418,3420,38.0,46,32,78,41,5,9,70,3,1.21,0.84,2.05,1.08,1.92
Villarreal,33,26.1,44.5,38,418,3420,38.0,71,47,118,64,7,7,78,3,1.87,1.24,3.11,1.68,2.92
Arsenal,25,26.0,56.4,38,418,3420,38.0,67,51,118,63,4,4,51,0,1.76,1.34,3.11,1.66,3.00
Aston Villa,30,28.0,53.7,38,418,3420,38.0,53,40,93,53,0,0,58,1,1.39,1.05,2.45,1.39,2.45
Bournemouth,26,25.0,50.1,38,418,3420,38.0,57,35,92,52,5,6,88,2,1.50,0.92,2.42,1.37,2.29
Brentford,26,25.2,47.5,38,418,3420,38.0,53,33,86,45,8,10,69,1,1.39,0.87,2.26,1.18,2.05
Brighton,28,26.1,53.9,38,418,3420,38.0,51,33,84,48,3,5,86,0,1.34,0.87,2.21,1.26,2.13
Burnley,28,27.0,42.5,38,418,3420,38.0,35,27,62,33,2,2,66,3,0.92,0.71,1.63,0.87,1.58
Chelsea,30,24.1,57.7,38,418,3420,38.0,57,39,96,50,7,8,98,8,1.50,1.03,2.53,1.32,2.34
Crystal Palace,30,26.2,45.9,38,418,3420,38.0,40,23,63,32,8,8,76,2,1.05,0.61,1.66,0.84,1.45
Everton,22,27.3,43.8,38,418,3420,38.0,45,34,79,43,2,2,74,4,1.18,0.89,2.08,1.13,2.03
Fulham,24,28.1,51.7,38,418,3420,38.0,43,26,69,38,5,5,75,1,1.13,0.68,1.82,1.00,1.68
Leeds United,24,26.8,45.7,38,418,3420,38.0,48,24,72,42,6,8,64,1,1.26,0.63,1.89,1.11,1.74
Liverpool,24,26.6,59.3,38,418,3420,38.0,61,44,105,60,1,2,57,1,1.61,1.16,2.76,1.58,2.74
Manchester City,27,25.4,60.7,38,418,3420,38.0,74,57,131,71,3,4,67,0,1.95,1.50,3.45,1.87,3.37
Manchester Utd,27,26.1,51.9,38,418,3420,38.0,66,46,112,62,4,6,64,3,1.74,1.21,2.95,1.63,2.84
Newcastle,26,26.7,52.5,38,418,3420,38.0,53,33,86,47,6,6,67,3,1.39,0.87,2.26,1.24,2.11
Nottingham,31,25.9,46.8,38,418,3420,38.0,47,34,81,44,3,3,60,1,1.24,0.89,2.13,1.16,2.05
Sunderland,29,25.3,44.9,38,418,3420,38.0,38,25,63,34,4,5,82,3,1.00,0.66,1.66,0.89,1.55
Tottenham,31,25.3,50.4,38,418,3420,38.0,47,36,83,47,0,0,101,4,1.24,0.95,2.18,1.24,2.18
West Ham,32,26.3,42.6,38,418,3420,38.0,44,31,75,41,3,3,69,3,1.16,0.82,1.97,1.08,1.89
Wolves,31,25.8,42.8,38,418,3420,38.0,26,18,44,23,3,5,80,3,0.68,0.47,1.16,0.61,1.08
