,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Augsburg,29,25.9,34,3060,90,100,34.0,374,81,213,160,22,141,1.26,45,61,-16,-0.47
Bayern Munich,32,27.4,34,3060,90,100,34.0,374,80,214,159,23,147,2.62,122,36,+86,+2.53
Dortmund,27,26.2,34,3060,90,100,34.0,374,83,213,159,17,141,2.15,70,34,+36,+1.06
Frankfurt,29,24.8,34,3060,90,100,34.0,374,80,211,161,22,145,1.29,61,65,-4,-0.12
Freiburg,26,26.7,34,3060,90,100,34.0,374,81,217,156,20,148,1.38,51,57,-6,-0.18
Gladbach,28,26.0,34,3060,90,100,34.0,374,82,216,155,18,151,1.12,42,53,-11,-0.32
Hamburger SV,32,25.8,34,3060,90,100,34.0,374,82,204,167,18,138,1.12,40,54,-14,-0.41
Heidenheim,30,26.6,34,3060,90,100,34.0,374,79,207,167,23,139,0.76,41,72,-31,-0.91
Hoffenheim,26,26.7,34,3060,90,100,34.0,374,83,219,152,17,150,1.79,65,52,+13,+0.38
Köln,27,25.0,34,3060,90,100,34.0,374,80,202,169,21,136,0.94,49,63,-14,-0.41
Leverkusen,28,26.3,34,3060,90,100,34.0,374,81,221,154,22,150,1.74,68,47,+21,+0.62
Mainz 05,30,28.6,34,3060,90,100,34.0,374,82,219,151,18,155,1.18,44,53,-9,-0.26
RB Leipzig,29,25.0,34,3060,90,100,34.0,374,83,214,160,16,146,1.91,66,47,+19,+0.56
St Pauli,24,27.5,34,3060,90,100,34.0,374,83,240,133,20,171,0.76,29,60,-31,-0.91
Stuttgart,26,25.5,34,3060,90,100,34.0,374,83,211,163,16,143,1.82,71,49,+22,+0.65
Union Berlin,26,27.2,34,3060,90,100,34.0,374,81,211,160,20,146,1.15,44,58,-14,-0.41
Werder Bremen,28,25.1,34,3060,90,100,34.0,374,82,228,143,20,160,0.94,37,60,-23,-0.68
Wolfsburg,30,25.4,34,3060,90,100,34.0,374,83,219,154,18,150,0.85,45,69,-24,-0.71
Atalanta,27,26.7,38,3420,90,100,38.0,418,79,237,181,25,261,1.55,51,36,+15,+0.39
Bologna,30,26.5,38,3420,90,100,38.0,418,80,226,188,22,312,1.47,49,46,+3,+0.08
Cagliari,31,24.8,38,3420,90,100,38.0,418,81,242,176,21,315,1.13,40,53,-13,-0.34
Como,24,25.4,38,3420,90,100,38.0,418,80,229,188,23,297,1.87,65,29,+36,+0.95
Cremonese,32,28.1,38,3420,90,100,38.0,418,80,236,181,24,273,0.89,32,57,-25,-0.66
Fiorentina,34,26.8,38,3420,90,100,38.0,418,81,241,175,21,291,1.11,41,50,-9,-0.24
Genoa,36,25.9,38,3420,90,100,38.0,418,81,242,173,20,331,1.08,41,51,-10,-0.26
Hellas Verona,34,26.3,38,3420,90,100,38.0,418,81,242,173,21,326,0.55,25,61,-36,-0.95
Inter,29,28.6,38,3420,90,100,38.0,418,81,231,187,21,293,2.29,89,35,+54,+1.42
Juventus,27,26.0,38,3420,90,100,38.0,418,82,231,185,19,244,1.82,61,34,+27,+0.71
Lazio,30,27.8,38,3420,90,100,38.0,418,79,232,178,24,269,1.42,41,40,+1,+0.03
Lecce,30,25.5,38,3420,90,100,38.0,418,81,243,173,21,339,1.00,28,50,-22,-0.58
Milan,26,27.2,38,3420,90,100,38.0,418,82,258,159,22,214,1.84,53,35,+18,+0.47
Napoli,29,28.4,38,3420,90,100,38.0,418,82,253,166,21,238,2.00,58,36,+22,+0.58
Parma,32,24.1,38,3420,90,100,38.0,418,81,249,169,20,307,1.18,28,46,-18,-0.47
Pisa,35,27.0,38,3420,90,100,38.0,418,79,230,183,24,345,0.47,26,71,-45,-1.18
Roma,29,26.3,38,3420,90,100,38.0,418,80,241,178,22,261,1.92,59,31,+28,+0.74
Sassuolo,34,26.1,38,3420,90,100,38.0,418,81,234,181,19,330,1.29,46,50,-4,-0.11
Torino,30,27.2,38,3420,90,100,38.0,418,80,231,187,22,309,1.18,44,63,-19,-0.50
Udinese,30,26.5,38,3420,90,100,38.0,418,81,232,185,20,291,1.32,45,48,-3,-0.08
Angers,30,26.0,34,3060,90,100,34.0,374,82,215,159,19,144,1.06,29,48,-19,-0.56
Auxerre,30,24.9,34,3060,90,100,34.0,374,83,233,134,18,169,1.00,34,44,-10,-0.29
Brest,27,26.5,34,3060,90,100,34.0,374,84,244,126,17,164,1.15,43,55,-12,-0.35
Le Havre,31,26.6,34,3060,90,100,34.0,374,82,216,155,19,149,1.03,32,44,-12,-0.35
Lens,30,26.5,34,3060,90,100,34.0,374,82,223,148,20,158,2.06,66,35,+31,+0.91
Lille,30,26.5,34,3060,90,100,34.0,374,82,212,158,18,147,1.79,52,37,+15,+0.44
Lorient,26,25.3,34,3060,90,100,34.0,374,82,218,155,20,148,1.32,48,51,-3,-0.09
Lyon,32,26.2,34,3060,90,100,34.0,374,84,237,130,17,174,1.76,53,40,+13,+0.38
Marseille,38,27.5,34,3060,90,100,34.0,374,81,219,154,19,151,1.74,63,45,+18,+0.53
Metz,33,26.2,34,3060,90,100,34.0,374,82,219,151,19,153,0.50,32,76,-44,-1.29
Monaco,32,25.6,34,3060,90,100,34.0,374,80,214,155,23,150,1.59,60,54,+6,+0.18
Nantes,33,26.1,33,2970,90,100,33.0,363,82,213,149,19,155,0.70,29,52,-23,-0.70
Nice,36,25.6,34,3060,90,100,34.0,374,80,211,162,22,144,0.94,37,60,-23,-0.68
Paris FC,31,27.3,34,3060,90,100,34.0,374,82,206,163,18,143,1.29,47,50,-3,-0.09
PSG,28,23.6,34,3060,90,100,34.0,374,80,226,146,26,150,2.24,74,29,+45,+1.32
Rennes,33,26.1,34,3060,90,100,34.0,374,82,225,146,20,160,1.74,59,50,+9,+0.26
Strasbourg,35,21.5,34,3060,90,100,34.0,374,82,228,145,21,161,1.56,58,47,+11,+0.32
Toulouse,26,24.1,33,2970,90,100,33.0,363,82,220,141,19,165,1.33,47,46,+1,+0.03
Alavés,28,27.3,38,3420,90,100,38.0,418,81,244,172,23,243,1.13,44,56,-12,-0.32
Athletic Club,29,27.6,38,3420,90,100,38.0,418,79,226,189,24,252,1.18,43,58,-15,-0.39
Atlético Madrid,36,27.2,38,3420,90,100,38.0,418,78,235,184,27,257,1.82,62,44,+18,+0.47
Barcelona,29,24.7,38,3420,90,100,38.0,418,80,233,184,22,238,2.47,95,36,+59,+1.55
Celta Vigo,31,26.0,38,3420,90,100,38.0,418,80,228,190,22,265,1.42,53,48,+5,+0.13
Elche,32,26.8,38,3420,90,100,38.0,418,81,225,190,19,250,1.13,49,57,-8,-0.21
Espanyol,25,27.4,38,3420,90,100,38.0,418,81,232,184,20,251,1.21,43,55,-12,-0.32
Getafe,33,28.5,38,3420,90,100,38.0,418,82,268,145,20,252,1.34,32,38,-6,-0.16
Girona,32,27.3,38,3420,90,100,38.0,418,81,243,172,22,218,1.08,39,55,-16,-0.42
Levante,30,25.9,38,3420,90,100,38.0,418,81,227,189,20,254,1.11,47,61,-14,-0.37
Mallorca,30,27.8,38,3420,90,100,38.0,418,82,241,175,18,274,1.11,47,57,-10,-0.26
Osasuna,24,28.2,38,3420,90,100,38.0,418,82,241,175,19,197,1.11,44,50,-6,-0.16
Oviedo,31,28.0,38,3420,90,100,38.0,418,80,224,186,21,250,0.76,26,60,-34,-0.89
Rayo Vallecano,28,28.9,38,3420,90,100,38.0,418,80,224,188,21,246,1.32,41,44,-3,-0.08
Real Betis,29,27.8,38,3420,90,100,38.0,418,81,254,163,22,253,1.58,59,48,+11,+0.29
Real Madrid,35,25.3,38,3420,90,100,38.0,418,81,243,171,21,250,2.26,77,35,+42,+1.11
Real Sociedad,36,25.8,38,3420,90,100,38.0,418,80,231,187,22,267,1.21,59,61,-2,-0.05
Sevilla,33,27.0,38,3420,90,100,38.0,418,80,239,178,23,261,1.13,46,60,-14,-0.37
Valencia,27,27.1,38,3420,90,100,38.0,418,80,229,187,21,265,1.29,46,55,-9,-0.24
Villarreal,33,26.1,38,3420,90,100,38.0,418,81,231,184,21,216,1.89,72,46,+26,+0.68
Arsenal,25,26.0,38,3420,90,100,38.0,418,81,254,167,23,175,2.24,71,27,+44,+1.16
Aston Villa,30,28.0,38,3420,90,100,38.0,418,82,246,175,19,167,1.71,56,49,+7,+0.18
Bournemouth,26,25.0,38,3420,90,100,38.0,418,83,246,173,17,168,1.50,58,54,+4,+0.11
Brentford,26,25.2,38,3420,90,100,38.0,418,84,281,136,17,206,1.39,55,52,+3,+0.08
Brighton,28,26.1,38,3420,90,100,38.0,418,82,242,178,19,164,1.39,52,46,+6,+0.16
Burnley,28,27.0,38,3420,90,100,38.0,418,83,242,173,17,168,0.58,38,75,-37,-0.97
Chelsea,30,24.1,38,3420,90,100,38.0,418,80,253,158,24,184,1.37,58,52,+6,+0.16
Crystal Palace,30,26.2,38,3420,90,100,38.0,418,83,281,136,20,204,1.18,41,51,-10,-0.26
Everton,22,27.3,38,3420,90,100,38.0,418,85,286,128,15,211,1.29,47,50,-3,-0.08
Fulham,24,28.1,38,3420,90,100,38.0,418,82,238,180,19,162,1.37,47,51,-4,-0.11
Leeds United,24,26.8,38,3420,90,100,38.0,418,83,255,164,16,178,1.24,49,56,-7,-0.18
Liverpool,24,26.6,38,3420,90,100,38.0,418,83,268,151,18,189,1.58,63,53,+10,+0.26
Manchester City,27,25.4,38,3420,90,100,38.0,418,83,271,147,19,195,2.05,77,35,+42,+1.11
Manchester Utd,27,26.1,38,3420,90,100,38.0,418,83,267,148,18,194,1.87,69,50,+19,+0.50
Newcastle,26,26.7,38,3420,90,100,38.0,418,82,245,170,20,172,1.29,53,55,-2,-0.05
Nottingham,31,25.9,38,3420,90,100,38.0,418,82,265,155,21,187,1.16,48,51,-3,-0.08
Sunderland,29,25.3,38,3420,90,100,38.0,418,83,280,137,20,205,1.42,42,48,-6,-0.16
Tottenham,31,25.3,38,3420,90,100,38.0,418,81,250,165,20,174,1.08,48,57,-9,-0.24
West Ham,32,26.3,38,3420,90,100,38.0,418,84,281,134,18,208,1.03,46,65,-19,-0.50
Wolves,31,25.8,38,3420,90,100,38.0,418,82,258,157,20,185,0.53,27,68,-41,-1.08
