,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Augsburg,29,34.0,45,445,157,35.3,13.09,4.62,0.09,0.26,4,6
Bayern Munich,32,34.0,119,653,289,44.3,19.21,8.50,0.17,0.37,11,12
Dortmund,27,34.0,69,445,163,36.6,13.09,4.79,0.14,0.39,6,9
Frankfurt,29,34.0,61,408,157,38.5,12.00,4.62,0.13,0.35,6,6
Freiburg,26,34.0,49,416,143,34.4,12.24,4.21,0.11,0.31,5,6
Gladbach,28,34.0,40,395,141,35.7,11.62,4.15,0.09,0.26,4,7
Hamburger SV,32,34.0,40,419,155,37.0,12.32,4.56,0.09,0.23,4,6
Heidenheim,30,34.0,41,389,123,31.6,11.44,3.62,0.10,0.32,2,2
Hoffenheim,26,34.0,61,479,176,36.7,14.09,5.18,0.11,0.31,6,6
Köln,27,34.0,47,456,158,34.6,13.41,4.65,0.10,0.28,3,3
Leverkusen,28,34.0,67,516,176,34.1,15.18,5.18,0.12,0.34,7,8
Mainz 05,30,34.0,44,410,141,34.4,12.06,4.15,0.09,0.26,8,9
RB Leipzig,29,34.0,64,538,204,37.9,15.82,6.00,0.12,0.31,1,3
St Pauli,24,34.0,29,347,114,32.9,10.21,3.35,0.07,0.22,4,5
Stuttgart,26,34.0,70,519,207,39.9,15.26,6.09,0.13,0.31,5,7
Union Berlin,26,34.0,44,424,133,31.4,12.47,3.91,0.10,0.31,3,5
Werder Bremen,28,34.0,36,443,140,31.6,13.03,4.12,0.07,0.24,3,4
Wolfsburg,30,34.0,44,405,142,35.1,11.91,4.18,0.10,0.28,4,5
Atalanta,27,38.0,50,563,175,31.1,14.82,4.61,0.08,0.27,3,3
Bologna,30,38.0,47,490,144,29.4,12.89,3.79,0.09,0.29,5,7
Cagliari,31,38.0,40,415,132,31.8,10.92,3.47,0.09,0.29,2,2
Como,24,38.0,64,550,194,35.3,14.47,5.11,0.11,0.30,5,8
Cremonese,32,38.0,32,346,125,36.1,9.11,3.29,0.08,0.22,4,4
Fiorentina,34,38.0,40,489,131,26.8,12.87,3.45,0.07,0.26,6,6
Genoa,36,38.0,41,434,143,32.9,11.42,3.76,0.08,0.25,5,9
Hellas Verona,34,38.0,24,421,141,33.5,11.08,3.71,0.05,0.15,3,3
Inter,29,38.0,85,650,229,35.2,17.11,6.03,0.12,0.35,5,6
Juventus,27,38.0,59,639,227,35.5,16.82,5.97,0.09,0.25,2,5
Lazio,30,38.0,39,417,156,37.4,10.97,4.11,0.08,0.22,4,5
Lecce,30,38.0,28,373,97,26.0,9.82,2.55,0.07,0.28,1,2
Milan,26,38.0,53,503,166,33.0,13.24,4.37,0.09,0.28,7,9
Napoli,29,38.0,57,502,179,35.7,13.21,4.71,0.11,0.30,4,5
Parma,32,38.0,26,407,104,25.6,10.71,2.74,0.06,0.23,2,2
Pisa,35,38.0,25,364,106,29.1,9.58,2.79,0.05,0.18,6,7
Roma,29,38.0,59,503,178,35.4,13.24,4.68,0.11,0.30,5,7
Sassuolo,34,38.0,45,406,143,35.2,10.68,3.76,0.11,0.30,2,4
Torino,30,38.0,42,449,151,33.6,11.82,3.97,0.08,0.25,5,7
Udinese,30,38.0,44,439,146,33.3,11.55,3.84,0.09,0.27,5,5
Angers,30,34.0,28,316,111,35.1,9.29,3.26,0.08,0.23,3,5
Auxerre,30,34.0,30,364,119,32.7,10.71,3.50,0.07,0.23,3,5
Brest,27,34.0,42,380,120,31.6,11.18,3.53,0.09,0.30,6,8
Le Havre,31,34.0,31,373,124,33.2,10.97,3.65,0.08,0.23,2,6
Lens,30,34.0,65,561,189,33.7,16.50,5.56,0.11,0.32,4,5
Lille,30,34.0,51,464,157,33.8,13.65,4.62,0.09,0.28,7,8
Lorient,26,34.0,47,385,134,34.8,11.32,3.94,0.11,0.33,3,7
Lyon,32,34.0,52,417,159,38.1,12.26,4.68,0.12,0.31,3,5
Marseille,38,34.0,62,512,195,38.1,15.06,5.74,0.11,0.29,6,8
Metz,33,34.0,31,342,108,31.6,10.06,3.18,0.08,0.24,5,6
Monaco,32,34.0,57,426,151,35.4,12.53,4.44,0.12,0.34,6,7
Nantes,33,33.0,28,374,108,28.9,11.33,3.27,0.07,0.24,2,4
Nice,36,34.0,35,382,134,35.1,11.24,3.94,0.08,0.24,3,3
Paris FC,31,34.0,46,395,135,34.2,11.62,3.97,0.10,0.30,5,6
PSG,28,34.0,73,601,226,37.6,17.68,6.65,0.11,0.30,5,8
Rennes,33,34.0,56,482,169,35.1,14.18,4.97,0.11,0.30,5,6
Strasbourg,35,34.0,57,389,158,40.6,11.44,4.65,0.13,0.32,6,7
Toulouse,26,33.0,46,425,143,33.6,12.88,4.33,0.10,0.29,4,7
Alavés,28,38.0,41,462,154,33.3,12.16,4.05,0.07,0.22,7,7
Athletic Club,29,38.0,42,522,172,33.0,13.74,4.53,0.07,0.22,5,6
Atlético Madrid,36,38.0,58,498,194,39.0,13.11,5.11,0.11,0.28,3,4
Barcelona,29,38.0,94,692,257,37.1,18.21,6.76,0.13,0.34,7,10
Celta Vigo,31,38.0,52,382,153,40.1,10.05,4.03,0.12,0.29,8,8
Elche,32,38.0,47,410,145,35.4,10.79,3.82,0.10,0.30,4,5
Espanyol,25,38.0,42,480,158,32.9,12.63,4.16,0.08,0.25,3,5
Getafe,33,38.0,31,350,105,30.0,9.21,2.76,0.08,0.28,2,4
Girona,32,38.0,38,426,157,36.9,11.21,4.13,0.07,0.20,7,8
Levante,30,38.0,47,476,147,30.9,12.53,3.87,0.09,0.31,2,6
Mallorca,30,38.0,47,412,158,38.3,10.84,4.16,0.10,0.27,5,7
Osasuna,24,38.0,42,450,152,33.8,11.84,4.00,0.08,0.24,6,8
Oviedo,31,38.0,26,377,119,31.6,9.92,3.13,0.06,0.20,2,3
